번호,시설명,도로명전체주소,위도(EPSG4326),경도(EPSG4326)
59,동원빌딩  지하1층,"서울특별시 종로구 새문안로3길 15, 동원빌딩 지하1층 (당주동)",37.57171564,126.972443
60,로얄빌딩 지하2층,"서울특별시 종로구 새문안로5길 19, 로얄빌딩 지하1층 (당주동)",37.57203484,126.9744974
61,현대해상본사빌딩 지하2층,"서울특별시 종로구 세종대로 163, 현대해상빌딩 지하1~2층 (세종로)",37.57094656,126.9763505
62,세종빌딩 지하1층,"서울특별시 종로구 세종대로23길 54, 세종빌딩, 세종아파트 지하1층 (당주동)",37.57175171,126.9733657
63,시티빌딩 지하1층,"서울특별시 종로구 새문안로 50, 한국씨티은행 본점 지하1층 (신문로2가)",37.56905845,126.9706755
66,무악현대아파트 지하1층,"서울특별시 종로구 통일로 246-20, 110동 지하1층 (무악동, 무악현대아파트)",37.57476317,126.9593421
67,무악현대임대아파트 지하2층,"서울특별시 종로구 통일로 246-11, 113동 지하2층 (무악동, 무악현대아파트)",37.57482248,126.9586101
68,독립문초등학교 지하1층,"서울특별시 종로구 통일로12길 23 (무악동, 독립문초등학교)",37.5737936,126.9604856
69,지하철5호선 서대문역 대합실 승강장,"서울특별시 종로구 통일로 지하126, 서대문역 2층 (평동)",37.56598826,126.9667036
70,강북삼성병원 지하2층,"서울특별시 종로구 새문안로 29, 강북삼성병원 지하2층 (평동)",37.56812827,126.9685924
71,서대문장로교회 지하1층,"서울특별시 종로구 통일로8길 16 (송월동, 서대문장로교회)",37.56950318,126.9653988
73,종로구민회관 지하2층,"서울특별시 종로구 지봉로5길 7-5 (창신동, 종로구구민회관, 보건소통합청)",37.57342693,127.0146928
74,창신성결교회 지하1층,"서울특별시 종로구 창신5길 22 (창신동, 창신성결교회)",37.57368401,127.0118341
75,서울명신초등학교 지하1층,"서울특별시 종로구 낙산길 250 (창신동, 서울명신초등학교)",37.58210445,127.014819
77,"지하철6호선 창신역 대합실 승강장(지하 1,4층)","서울특별시 종로구 지봉로 지하 112 (창신동, 6호선 창신역)",37.5800304,127.015296
79,가톨릭대학교성신교정 지하1층,"서울특별시 종로구 창경궁로 296-12 (혜화동, 가톨릭대학교성신교정)",37.58642554,127.0032353
80,"혜성교회, 혜성유치원 지하1층","서울특별시 종로구 혜화로6가길 34 (혜화동, 혜성유치원)",37.59057257,127.0010019
81,명륜교회 지하1층,"서울특별시 종로구 혜화로3길 6 (명륜1가, 명륜교회)",37.58635747,126.9999839
82,명륜프라자 지하2~3층,"서울특별시 종로구 창경궁로 260 (명륜2가, 명륜프라자)",37.58441274,127.0004806
83,"동원빌딩, 한성대학교에듀센터 지하1층","서울특별시 종로구 창경궁로 254 (명륜2가, 동원빌딩)",37.5838836,126.999988
84,광원빌딩 지하1층,서울특별시 종로구 창경궁로 230 (명륜4가),37.58227886,126.9982065
85,지하철4호선 혜화역 대합실 승강장,"서울특별시 종로구 대학로 지하 120 (명륜4가, 4호선 혜화역)",37.58184728,127.0020068
86,혜화동씨티밸리 지하3층,"서울특별시 종로구 대학로 146 (혜화동, 두레빌딩)",37.58430711,127.0018639
87,지하철1호선 종로5가역 대합실 승강장 지하2층,"서울특별시 종로구 종로 지하 216 (종로5가, 1호선 종로5가역)",37.57082789,127.0016237
