번호,시설명,도로명전체주소,위도(EPSG4326),경도(EPSG4326)
987,우성2차아파트 지하주차장 1층~2층,"서울특별시 도봉구 해등로 307 (방학동, 우성2차아파트)",37.6573189,127.0223269
988,벽산아파트 지하주차장 1층~3층,"서울특별시 도봉구 시루봉로5길 48 (방학동, 벽산아파트)",37.65848083,127.025138
989,삼성 레미안아파트(창1동) 지하주차장 1층,"서울특별시 도봉구 노해로66길 21 (창동, 삼성아파트)",37.65026477,127.0472362
990,"한화,성원아파트(방학3동) 지하주차장 1층~2층","서울특별시 도봉구 방학로11길 10 (방학동, 한화아파트)",37.66170068,127.0319058
991,신동아4단지아파트 지하주차장 1층,"서울특별시 도봉구 방학로 200 (방학동, 신동아아파트)",37.66229206,127.0299264
992,현대 3차아파트(쌍문1동) 지하주차장 1층,서울특별시 도봉구 우이천로38가길 32-0 (쌍문동),37.65141101,127.0215268
993,북부교육청 지하 주차장 1층,"서울특별시 도봉구 노해로 313 (창동, 북부교육청)",37.65168338,127.043252
994,금용아파트(창동) 지하주차장 1층~2층,"서울특별시 도봉구 우이천로 200 (창동, 창동금용아파트)",37.63767132,127.0359683
995,신원에벤에셀아파트 지하주차장 1층,"서울특별시 도봉구 해등로 255 (쌍문동, 에벤에셀아파트)",37.65758036,127.0282208
996,미라보아파트 지하주차장 1층,"서울특별시 도봉구 시루봉로2길 62 (쌍문동, 쌍문미라보아파트)",37.65544585,127.0314859
997,쌍문 극동아파트 지하주차장 1층,"서울특별시 도봉구 노해로45길 26 (쌍문동, 쌍문극동아파트)",37.65069912,127.0266877
998,염광아파트 지하주차장 1층,"서울특별시 도봉구 우이천로30길 28 (쌍문동, 염광아파트)",37.64862432,127.0261892
999,동아그린아파트(창5동) 지하주차장 1층,"서울특별시 도봉구 노해로63다길 34 (창동, 동아그린아파트)",37.65435887,127.0461644
1000,대우아파트 지하주차장 1층~2층,"서울특별시 도봉구 덕릉로63가길 43 (창동, 창동대우아파트)",37.64301429,127.0380471
1001,성원(방학1동) 101동 아파트 지하주차장 1층,"서울특별시 도봉구 방학로7길 16 (방학동, 성원아파트)",37.66195719,127.0362
1002,성원(방학1동) 102동 아파트 지하주차장 1층,"서울특별시 도봉구 방학로7길 15 (방학동, 성원아파트)",37.6619532,127.036344
1003,방학동 도깨비시장 지하주차장 1층~2층,"서울특별시 도봉구 방학로10길 51 (방학동, 방학동도깨비시장주차장)",37.66444168,127.0340412
1004,방아골종합사회복지관 지하주차장 1~2층,"서울특별시 도봉구 시루봉로17길 42 (방학동, 도봉방아골종합사회복지관)",37.66924964,127.032622
1005,도봉한신아파트 지하주차장 1층~3층,"서울특별시 도봉구 도봉로180나길 41 (도봉동, 도봉한신아파트)",37.68433602,127.0497675
1006,신동아타워상가아파트 지하주차장 1층~2층,"서울특별시 도봉구 방학로 210 (방학동, 신동아타워아파트)",37.66209139,127.028877
1007,쌍문역 지하1층,"서울특별시 도봉구 도봉로 지하 486-1 (창동, 쌍문역)",37.64885394,127.0349019
1008,신동아5단지아파트 지하주차장 1층~2층,"서울특별시 도봉구 방학로12길 53 (방학동, 신동아아파트)",37.66358728,127.0287382
1009,동아청솔아파트 지하주차장 1층~2층,서울특별시 도봉구 노해로69길 103 (창동),37.65702855,127.0493995
1010,쌍용아파트 지하주차장 1층,서울특별시 도봉구 마들로 551 (창동),37.66029216,127.0490876
1011,대우파크빌 지하주차장 1층,"서울특별시 도봉구 시루봉로2길 80 (쌍문동, 대우파크빌라)",37.65540336,127.0324414
1012,방학지하차보도 지하1층,"서울특별시 도봉구 노해로63가길 229, 방학지하차보도(방학신화하니엘시티 옆) (방학동)",37.6625129,127.0444346
1013,신창아파트 지하주차장 1층~2층,"서울특별시 도봉구 덕릉로62길 13 (창동, 신창아파트)",37.64064381,127.0409735
1014,현대아파트(창5동) 지하주차장 1층,"서울특별시 도봉구 해등로16길 12 (창동, 현대아파트)",37.65610713,127.0408563
1016,대상타운현대아파트(방학1동) 지하주차장 1층~2층,"서울특별시 도봉구 마들로 616 (방학동, 대상타운현대아파트)",37.66513041,127.0465958
1017,효성하이타운아파트 지하주차장 1층~2층,"서울특별시 도봉구 방학로11길 33 (방학동, 효성하이타운)",37.66106678,127.0329906
1018,한양6차아파트 지하주차장 1층,"서울특별시 도봉구 시루봉로 58 (쌍문동, 한양6차아파트)",37.65596034,127.0280315
1019,건영아파트 지하주차장 1층~2층,"서울특별시 도봉구 우이천로20길 7 (창동, 건영캐스빌아파트)",37.64095702,127.0340726
1020,창동한신아파트 지하주차장 1층~2층,"서울특별시 도봉구 도봉로110다길 5 (창동, 창동 한신아파트)",37.64588575,127.0342287
1021,삼성래미안1단지(방학1동) 아파트 지하주차장 1층~2층,서울특별시 도봉구 마들로 646 (방학동),37.66773626,127.0463321
1022,삼성래미안2단지(방학1동) 아파트 지하주차장 1층~2층,서울특별시 도봉구 도봉로150길 42 (방학동),37.66589711,127.0455586
1023,엘지트윈빌상가 지하주차장 1층,"서울특별시 도봉구 도당로 10 (쌍문동, 쌍문동LG트윈빌1)",37.6591014,127.0352435
1024,이수아파트 지하주차장 1층~2층,"서울특별시 도봉구 도봉로146길 36 (방학동, 브라운스톤방학아파트)",37.66417617,127.0448416
1025,도봉구청 지하주차장 1층~2층,서울특별시 도봉구 마들로 656 (방학동),37.66870173,127.0470068
1026,현대4차 아파트(창4동) 지하주차장 1층~2층,서울특별시 도봉구 노해로69가길 54,37.65857253,127.0468706
1027,삼성래미안아파트(쌍문3동) 지하주차장 1층,"서울특별시 도봉구 우이천로 328 (쌍문동, 쌍문동삼성래미안)",37.64627002,127.0270324
1028,신일라이프 아파트 지하주차장 1층,"서울특별시 도봉구 노해로 184-9 (쌍문동, 신일라이프아파트)",37.65043998,127.0293138
1030,동아에코빌아파트 지하주차장 1층~2층,"서울특별시 도봉구 도봉로180길 6-25 (도봉동, 동아에코빌아파트)",37.68221022,127.046344
1031,신원2차아파트 지하주차장 1층,"서울특별시 도봉구 해등로 190 (쌍문동, 신원주상복합2차아파트)",37.65809596,127.0356671
1032,현대2차 아파트(창4동) 지하주차장 1층~2층,서울특별시 도봉구 도봉로136길 111 (창동),37.66051512,127.0467339
1033,현대3차 아파트(창4동) 지하주차장 1층~2층,"서울특별시 도봉구 도봉로136길 111 (창동, 창동2,3차현대아파트)",37.66051512,127.0467339
1034,럭키아파트 지하주차장 1층,"서울특별시 도봉구 도봉로169길 31 (도봉동, 럭키아파트)",37.67991038,127.0439471
1037,성원(창4동) 아파트 지하주차장 1층~2층,서울특별시 도봉구 마들로16길 56,37.66093499,127.0498524
1039,쌍문e편한세상 아파트 지하주차장 1층,"서울특별시 도봉구 노해로41가길 16 (쌍문동, 쌍문e-편한세상)",37.65002551,127.0270963
1040,북한산월드메르디앙 아파트 지하주차장 1층,"서울특별시 도봉구 삼양로 566 (쌍문동, 북한산월드메르디앙)",37.65354372,127.0129572
1041,방학동 동부센트레빌아파트 지하주차장 1층~2층,"서울특별시 도봉구 방학로 120 (방학동, 방학동부센트레빌)",37.66304185,127.0389902
1042,금광포란재아파트 지하주차장 1층~2층,서울특별시 도봉구 도봉로150바길 26 (방학동),37.66481967,127.0452506
1043,북한산아이파크아파트 지하주차장 1층~2층,"서울특별시 도봉구 도봉로136길 28 (창동, 북한산 아이파크)",37.65906054,127.0427411
1044,삼성 래미안아파트(도봉2동) 지하주차장 1층~2층,"서울특별시 도봉구 도봉로170길 40 (도봉동, 래미안도봉아파트)",37.67986697,127.0475957
1045,도봉파크빌2단지아파트 지하주차장 1층~2층,"서울특별시 도봉구 마들로 835 (도봉동, 도봉파크빌2단지)",37.68406759,127.0511569
1046,도봉파크빌3단지아파트 지하주차장 1층~2층,"서울특별시 도봉구 마들로 895 (도봉동, 도봉파크빌3단지아파트)",37.68798438,127.0481054
1047,대우파크힐아파트 지하주차장 1층,"서울특별시 도봉구 시루봉로 8 (쌍문동, 대우파크힐아파트)",37.65145699,127.0286197
1049,한승미메이드아파트 지하주차장 1층,"서울특별시 도봉구 덕릉로60길 164-13 (창동, 창동한승미메이드아파트)",37.63308703,127.0427202
1050,초안산신도브래뉴아파트(창3동) 지하주차장 1층,"서울특별시 도봉구 우이천로4라길 11-14 (창동, 초안산신도브래뉴)",37.633617,127.042391
1051,동도센트리움아파트 지하주차장 1층~2층,서울특별시 도봉구 마들로 579-19 (창동),37.66195379,127.0454605
1052,서울북부지방법원 지하주차장 1층,"서울특별시 도봉구 마들로 749 (도봉동, 서울북부지방법원)",37.67732126,127.0472035
1053,쌍문브라운스톤아파트 지하주차장 1층,"서울특별시 도봉구 노해로40길 71-0 (쌍문동, 브라운스톤쌍문)",37.64706425,127.0299376
1054,동양크레오 아파트 지하주차장 1층~2층,"서울특별시 도봉구 시루봉로 166 (방학동, 동양크레오아파트)",37.66483468,127.0298755
1055,방학동 ESA1단지 아파트 지하주차장 1층~3층,서울특별시 도봉구 마들로 657 (방학동),37.66890101,127.0459766
1056,방학동 ESA2단지 아파트 지하주차장 1층~3층,서울특별시 도봉구 도봉로150길 43 (방학동),37.66614498,127.045638
1057,방학동 ESA3단지아파트 지하주차장 1층~3층,서울특별시 도봉구 도봉로150길 31 (방학동),37.66615419,127.045001
1058,서울북부지방검찰청 지하주차장 1층,"서울특별시 도봉구 마들로 747 (도봉동, 서울북부지방검찰청)",37.6766557,127.0481839
1059,북한산코오롱하늘채아파트 지하주차장 1층,"서울특별시 도봉구 우이천로 367 (쌍문동, 북한산코오롱하늘채아파트)",37.64854489,127.023409
1060,송학 휴스테이 아파트 지하주차장 1층,"서울특별시 도봉구 도당로15길 36 (방학동, 송학휴스테이)",37.66693305,127.0358722
1061,녹천지하차도 지하1층,"서울특별시 도봉구 덕릉로 376, 녹천지하차보도 (창동)",37.64585273,127.0507628
1062,도봉한양수자인아파트 지하주차장 1층~3층,"서울특별시 도봉구 마들로 724 (도봉동, 도봉한양수자인)",37.67456568,127.0477214
1063,창동지하보도 지하 1층,"서울특별시 도봉구 노해로67길 26, 창동지하보도 (창동)",37.65178326,127.0490578
1064,가인지하보도 지하1층,"서울특별시 도봉구 도봉로136길 61, 가인지하차보도 (창동)",37.65963738,127.0445646
1065,도봉산리베니움 지하주차장 1층,"서울특별시 도봉구 도봉로181길 74-30 (도봉동, 도봉산 리베니움 아파트)",37.68574984,127.0428716
1066,도봉산역 광역환승센터 지하주차장 1층~2층,서울특별시 도봉구 도봉산4나길 43 (도봉동),37.68875694,127.0444236
1067,창제2동 제4공영주차장 지하1층,"서울특별시 도봉구 덕릉로59길 64, 창제2동 제4공영주차장(창동가스 맞은편) (창동)",37.6416731,127.0363208
1068,쌍문금강아미움파크타운 지하주차장 1층~3층,"서울특별시 도봉구 방학로5길 33 (쌍문동, 금강아미움파크타운)",37.66128584,127.0378922
1069,에덴아파트 지하주차장 1층,"서울특별시 도봉구 도봉로137길 31 (쌍문동, 에덴아파트)",37.66036921,127.0397959
1070,창동신도브래뉴아파트(창5동) 지하주차장 1층~2층,"서울특별시 도봉구 도봉로136나길 40 (창동, 창동신도브래뉴1차아파트)",37.65669119,127.0446147
1071,창동대동아파트 지하주차장 1층~2층,"서울특별시 도봉구 도봉로 642-30 (창동, 대동아파트)",37.66193086,127.044086
1072,성우현대아파트(도봉2동) 지하주차장 1층~2층,"서울특별시 도봉구 마들로 735-8 (도봉동, 현대성우아파트)",37.67601567,127.0474894
1073,도봉중흥S클래스 지하주차장 1층,"서울특별시 도봉구 도봉로180가길 32 (도봉동, 중흥에스 클래스)",37.68485791,127.0466077
1074,도봉투웨니퍼스트1단지 지하주차장 1층,"서울특별시 도봉구 도봉로180길 20, 도봉투웨니퍼스트1단지 (도봉동)",37.68303424,127.0471684
1075,도봉투웨니퍼스트2단지 지하주차장 1층,"서울특별시 도봉구 도봉로180길 28, 도봉투웨니퍼스트2단지 (도봉동)",37.68293043,127.0475774
1076,창제3동 제1공영주차장 지하1층,"서울특별시 도봉구 우이천로4길 24-11, 창제3동 제1공영주차장 (창동)",37.63315701,127.0411205
1078,에드가 쌍문 아파트 지하주차장 1~2층,"서울특별시 도봉구 삼양로 602 (쌍문동, 에드가쌍문)",37.6566048,127.0136448
1079,창동 데시앙 아파트 지하주차장 1~2층,"서울특별시 도봉구 도봉로110다길 51 (창동, 태영창동데시앙)",37.64398727,127.033182
1080,씨드큐브 창동 지하주차장 1층~7층,"서울특별시 도봉구 마들로13길 61, 씨드큐브 창동 (창동)",37.65440681,127.0497957
1081,경기기계공업고등학교 지하1층 창고,서울특별시 노원구 공릉로 264 (경기기계공업고등학교),37.63126873,127.0736597
1082,혜성여자고등학교 지하1층 동아리실,"서울특별시 노원구 노원로16길 2 (하계동, 혜성여자고등학교)",37.64161929,127.0727406
1083,대진고등학교 지하1층 창고,"서울특별시 노원구 공릉로62가길 47 (하계동, 대진고등학교)",37.63725465,127.0747565
1084,상계5동주민센터 지하1층,"서울특별시 노원구 한글비석로 434 (상계동, 상계5동주민센터)",37.66282635,127.0692749
1085,한신1차아파트 지하1층,"서울특별시 노원구 한글비석로46가길 16 (상계동, 한신1차아파트)",37.66544226,127.0681224
1087,현대우성아파트 상가 지하1층,"서울특별시 노원구 섬밭로 232 (하계동, 현대아파트,우성아파트)",37.63673268,127.0654908
1088,상록스토아 지하1층,서울특별시 노원구 동일로227길 26 (상계동),37.66720731,127.0555621
1089,한신2차아파트 지하1층,"서울특별시 노원구 한글비석로48길 6 (상계동, 한신2차아파트)",37.66445946,127.0676219
1090,상계주공아파트 12단지 관리동 지하1층,"서울특별시 노원구 한글비석로 530 (상계동, 상계주공12단지아파트)",37.66488538,127.0592278
1091,보람아파트 관리소 지하1층,"서울특별시 노원구 한글비석로 479 (상계동, 보람아파트1단지)",37.66453602,127.0646947
1092,상계주공아파트 12단지 종합상가 지하1층,"서울특별시 노원구 동일로 1538 (상계동, 12단지 종합상가)",37.66586227,127.0577731
1093,보람상가 지하1층,"서울특별시 노원구 한글비석로 474 (상계동, 보람아파트2단지)",37.6646846,127.0654483
1094,청원중학교 지하1층,"서울특별시 노원구 한글비석로 506 (상계동, 청원초,청원중,청원고,청원여고)",37.66532871,127.0619625
1095,청원초등학교 지하1층,"서울특별시 노원구 한글비석로 506 (상계동, 청원초,청원중,청원고,청원여고)",37.66532871,127.0619625
1096,청원고등학교 청원관 지하1층,"서울특별시 노원구 한글비석로 506 (상계동, 청원초,청원중,청원고,청원여고)",37.66532871,127.0619625
1097,상계8동 주공16단지 지하1층 헬스장,서울특별시 노원구 동일로227길 86 (상계동),37.66719284,127.0521697
1099,롯데상가 지하1층,"서울특별시 노원구 섬밭로 263 (중계동, 롯데상가)",37.63930911,127.0637791
1100,하계장미6단지아파트 종합상가 지하1층,"서울특별시 노원구 섬밭로 196 (하계동, 장미아파트)",37.63368912,127.0667845
1101,하계2동주민센터 지하1층,"서울특별시 노원구 공릉로55길 88 (하계동, 하계2동 주민센터)",37.63198534,127.0679125
1102,상계9동 주민센터 지하1층,"서울특별시 노원구 한글비석로 487 (상계동, 상계9동주민센터)",37.66456672,127.0638412
1103,상계8동 주민센터 지하1층,"서울특별시 노원구 동일로227길 97 (상계동, 상계8동주민센터)",37.66679273,127.0514954
1104,벽산아파트108동상가 지하1층,"서울특별시 노원구 한글비석로 396 (상계동, 벽산아파트)",37.66047265,127.0722064
1105,벽산아파트109동상가 지하1층,"서울특별시 노원구 한글비석로 396, 109동 (상계동, 벽산아파트)",37.66047265,127.0722064
1106,창동차량기지사무소 지하1층,서울특별시 노원구 노원로 573 (상계동),37.65818015,127.0552067
1107,창동차량기지 후생관 지하1층,서울특별시 노원구 노원로 573 (상계동),37.65818015,127.0552067
1108,용화여고 지하1층,"서울특별시 노원구 동일로 1461 (상계동, 용화여자고등학교)",37.65889607,127.0590747
1109,도봉면허시험장 지하1층,"서울특별시 노원구 동일로 1449 (상계동, 도봉운전면허시험장)",37.65793925,127.0593339
1110,위성프라자 지하2층,"서울특별시 노원구 상계로 55 (상계동, 위성프라자)",37.65598929,127.0611822
1111,노원프라자 주차장 지하2층,"서울특별시 노원구 상계로 51 (상계동, 노원프라자빌딩)",37.65590119,127.0607852
1112,노원구 구민의전당 지하1층,"서울특별시 노원구 동일로 1229 (중계동, 노원구민회관)",37.6390176,127.0665728
1113,대진여자고등학교 지하1층,"서울특별시 노원구 공릉로 438 (중계동, 대진여자고등학교)",37.645394,127.0668138
1114,상계주공아파트 13단지 관리동 지하1층,"서울특별시 노원구 한글비석로54길 92 (상계동, 상계주공13단지아파트)",37.66747451,127.0612525
1115,서진골프연습장 지하1층,"서울특별시 노원구 동일로228길 29 (상계동, 대원유치원)",37.66774093,127.0587423
1116,신한은행 마들역점 지하1층,"서울특별시 노원구 동일로 1546 (상계동, 신한은행)",37.6665273,127.0576042
1117,합동빌딩 주차장 지하2층,서울특별시 노원구 동일로 1529 (상계동),37.66499452,127.057399
1118,주공10단지아파트 지하1층 종합상가,서울특별시 노원구 동일로 1493 (상계동),37.66175593,127.0581938
1119,세이브존 노원점 지하주차장 2층,"서울특별시 노원구 한글비석로 57 (하계동, 세이브존)",37.63650905,127.0686873
1120,중계그린B상가 지하1층,"서울특별시 노원구 동일로 1279, 중계그린아파트 A,B 상가 (중계동)",37.64321431,127.0647214
1121,국민은행 마들역점 지하1층,"서울특별시 노원구 동일로 1534 (상계동, 국민은행)",37.66544627,127.0578453
1122,기업은행 지하1층 주차장,서울특별시 노원구 동일로 1527 (상계동),37.66480821,127.0574778
1123,중계그린아파트 상가 지하1층,"서울특별시 노원구 동일로207길 23, 동은유치원 (중계동)",37.64308772,127.0634477
1124,건영옴니백화점 지하1층,"서울특별시 노원구 섬밭로 258 (중계동, 건영옴니백화점)",37.63886877,127.0643857
1125,정안프라자 지하1층,"서울특별시 노원구 동일로 1308 (중계동, 정안프라자)",37.64587634,127.0641215
1126,중계무지개 아파트상가 지하1층,"서울특별시 노원구 동일로208길 19 (중계동, 중계무지개아파트)",37.64398548,127.0659395
1127,무지개아파트 관리사무소 지하1층,"서울특별시 노원구 동일로208길 20 (중계동, 무지개아파트)",37.643857,127.0659983
1128,평화종합사회복지관 지하1층,"서울특별시 노원구 노원로 331 (중계동, 시영3단지목련아파트)",37.64646561,127.069979
1129,목련아파트 상가 지하1층,"서울특별시 노원구 노원로 333 (중계동, 한양목욕탕)",37.64665461,127.0699052
1130,목화아파트 상가 지하1층,"서울특별시 노원구 노원로19길 31 (중계동, 목화아파트)",37.64432328,127.0692232
1131,농협 지하1층 주차장,서울특별시 노원구 동일로 1553 (상계동),37.6670532,127.0568906
1132,연촌초등학교 지하1층 창고,"서울특별시 노원구 공릉로58길 36 (하계동, 연촌초등학교)",37.63438761,127.0726125
1133,중계본동주민센터 지하 1층 시설,"서울특별시 노원구 중계로 143 (중계동, 중계본동주민센터)",37.6478841,127.0803468
1134,대명프라자 지하 1~3층 주차장,"서울특별시 노원구 한글비석로 254 (중계동, 대명프라자)",37.65036147,127.0769526
1135,2001아울렛 지하1층,"서울특별시 노원구 동일로204가길 46, 2001아울렛 (중계동)",37.64124468,127.0677391
1136,노원을지대학교병원 지하주차장 2~4층,"서울특별시 노원구 한글비석로 68 (하계동, 을지병원)",37.63661486,127.0696932
1137,상명중학교 지하1층,"서울특별시 노원구 덕릉로 553 (중계동, 민정학원)",37.64881369,127.0688065
1138,상명고등학교 지하1층,"서울특별시 노원구 덕릉로 553 (중계동, 민정학원)",37.64881369,127.0688065
1139,상명초등학교 지하1층,"서울특별시 노원구 덕릉로 541, 상명초등학교 (중계동)",37.64789889,127.0678131
1140,"금호프라자 지하3,4층 주차장","서울특별시 노원구 상계로5길 32 (상계동, 금호프라자)",37.65700197,127.0628045
1141,장석교회 지하2층 주차장,"서울특별시 노원구 월계로44길 23 (월계동, 대한예수교장로회장석교회)",37.62396672,127.0514446
1142,홍파복지원 지하1층,"서울특별시 노원구 동일로248길 30 (상계동, 홍파복지관)",37.68047295,127.0564522
1143,시립중계노인전문요양원 지하1층,"서울특별시 노원구 섬밭로 313, 시립중계노인전문요양원 (중계동)",37.64361484,127.0619611
1144,신동아아파트상가 지하1층,"서울특별시 노원구 한글비석로52길 64 (상계동, 신동아아파트)",37.66734305,127.0667879
1145,영빈빌딩 지하2층 주차장,"서울특별시 노원구 상계로3길 28 (상계동, 영빈빌딩)",37.65744895,127.0625189
1146,그랜드프라자 지하 2~3층 주차장,"서울특별시 노원구 한글비석로 264 (중계동, 중계그랜드프라자)",37.6510873,127.0769755
1147,화인상가아파트 지하 1~2층 주차장,"서울특별시 노원구 중계로 160 (중계동, 화인상가아파트)",37.64939436,127.0810866
1148,북부종합사회복지관 지하1층,"서울특별시 노원구 동일로245길 56 (상계동, 북부종합사회복지관)",37.67960024,127.052235
1149,중계역 지하1층,"서울특별시 노원구 동일로 지하 1308-1 (중계동, 중계역)",37.64568593,127.0639769
1150,하계역(지하철 7호선) 지하2층,"서울특별시 노원구 동일로 지하 1196 (하계동, 하계역)",37.63619896,127.0681959
1151,교림노원프라자 지하1층 주차장,"서울특별시 노원구 한글비석로 444 (상계동, 교림노원프라자)",37.66356992,127.0684177
1153,서울아이티고등학교 지하1층,"서울특별시 노원구 섬밭로 299-0 (중계동, 서울아이티고등학교)",37.6423654,127.0624503
1154,마들역 지하1층,"서울특별시 노원구 동일로 지하 1530-1 (상계동, 마들역)",37.66505599,127.0577805
1155,"순복음교회 지하2,3층 주차장","서울특별시 노원구 노원로 440 (상계동, 순복음교회)",37.65592643,127.0671467
1156,삼능스페이스향 지하1~4층 주차장,"서울특별시 노원구 석계로18길 23 (월계동, 삼능스페이스향)",37.62389041,127.0607359
1157,삼호종합상가 지하1층 마트,"서울특별시 노원구 마들로 111 (월계동, 월계미륭아파트,월계삼호아파트)",37.62536225,127.0667185
1158,성원상가 지하1층 체육관,"서울특별시 노원구 마들로3길 37 (월계동, 성원아파트)",37.62905187,127.0626391
1159,미성상가 지하1층 상가,"서울특별시 노원구 마들로 59 (월계동, 월계미성아파트)",37.62119019,127.0692149
1161,월계1동 주민센터 지하1층,"서울특별시 노원구 석계로 59 (월계동, 석산빌딩)",37.6199998,127.0629643
1162,"꽃동산교회 지하2,3층 주차장","서울특별시 노원구 노원로 420 (상계동, 꽃동산교회)",37.65411617,127.0677462
1163,염광아파트 지하1층 주차장,"서울특별시 노원구 덕릉로79길 23-0 (중계동, 염광아파트)",37.65697397,127.0733569
1164,신한은행 노원역지점 지하1층 주차장,"서울특별시 노원구 동일로 1404, 신한은행 (상계동)",37.65399725,127.0609975
1165,기업빌딩 지하2층 주차장,서울특별시 노원구 동일로 1402 (상계동),37.65376532,127.0609685
1166,삼성생명 상계빌딩 지하2층 주차장,"서울특별시 노원구 동일로 1395 (상계동, 상계빌딩)",37.65318528,127.0606128
1167,중앙하이츠아파트 지하 1층 주차장,"서울특별시 노원구 한글비석로14길 37 (중계동, 중앙하이츠아파트)",37.65898502,127.0766856
1168,중계4동주민센터 지하1층,"서울특별시 노원구 덕릉로82길 50 (중계동, 중계4동주민센터)",37.65881498,127.0779171
1169,교보생명빌딩 지하1층 주차장,"서울특별시 노원구 노해로 467, 교보빌딩 (상계동)",37.65433437,127.0598255
1170,수락산역 지하 1~3층,"서울특별시 노원구 동일로 지하 1662 (상계동, 수락산역)",37.67686838,127.0554121
1171,삼천리빌딩 지하1층 주차장,"서울특별시 노원구 동일로241길 36 (상계동, 삼천리)",37.67776135,127.0543915
1172,염광학원 지하1층 주차장,"서울특별시 노원구 월계로45가길 9 (월계동, 염광중,고,메디텍고,유치원)",37.62807564,127.0502304
1174,월계공단 지하1층,"서울특별시 노원구 월계로45길 28 (월계동, 월계아파트형공장)",37.62679427,127.0510116
1175,주공1단지 관리사무소 지하1층,"서울특별시 노원구 초안산로1길 18 (월계동, 월계주공2단지아파트)",37.62847711,127.0539436
1176,주공2단지관리사무소 지하1층,"서울특별시 노원구 초안산로1길 18 (월계동, 월계주공2단지아파트)",37.62847711,127.0539436
1177,유치원상가 지하1층,"서울특별시 노원구 초안산로 19 (월계동, 월계주공2단지아파트)",37.62954816,127.0542479
1178,충은교회 지하1층,"서울특별시 노원구 초안산로3길 41 (월계동, 경륜교회)",37.62961119,127.0521962
1180,주공4단지 상가 지하1층 주차장,"서울특별시 노원구 동일로 1362 (상계동, 상계주공4단지아파트)",37.65032419,127.061967
1181,상계백병원 지하1층 주차장,"서울특별시 노원구 동일로 1342, 상계백병원 (상계동)",37.64857631,127.0627663
1182,성서신학대학 밀알관 지하1층 주차장,"서울특별시 노원구 동일로214길 32, 한국성서대학교 (상계동)",37.64916566,127.0635229
1183,수락파크빌아파트 지하1층 주차장,"서울특별시 노원구 동일로248길 16 (상계동, 수락파크빌아파트)",37.67979615,127.0562493
1184,공릉2동 공릉보건지소 지하 1층,서울특별시 노원구 공릉로 166-1 (공릉동),37.62476111,127.0799122
1185,"공릉2동 화랑대역 지하1,2층",서울특별시 노원구 화랑로 지하 510 (공릉동),37.61993332,127.0838206
1186,공릉2동 평화타운 지하 1~3층,서울특별시 노원구 공릉로46길 3 (공릉동),37.62708009,127.0792272
1187,"공릉2동 태강아파트 지하주차장 1,2층","서울특별시 노원구 공릉로34길 62 (공릉동, 태강아파트)",37.62374912,127.0821586
1188,세양빌딩  지하 1층 주차장,"서울특별시 노원구 덕릉로 669 (중계동, 세양빌딩)",37.65746502,127.0747482
1189,공릉역(지하1~4층),서울특별시 노원구 동일로 지하 1074 (공릉동),37.62586567,127.0729389
1190,불암현대아파트 전체동 지하주차장 B1층~B4층,"서울특별시 노원구 덕릉로118길 29 (상계동, 상계불암현대아파트)",37.66773546,127.0807189
1191,동아불암아파트 전체동 지하주차장 B1층~B3층,"서울특별시 노원구 덕릉로 780 (상계동, 동아불암아파트)",37.66668208,127.0785356
1192,"노원 아이파크 지하2,3층 주차장","서울특별시 노원구 상계로23다길 13-8 (상계동, 노원 아이파크)",37.65958412,127.0691248
1193,상계불암대림아파트 전체동 지하주차장 B1층~B2층,"서울특별시 노원구 덕릉로94길 21 (상계동, 상계불암대림아파트)",37.66249192,127.077314
1194,그랑빌아파트 지하주차장1층,"서울특별시 노원구 마들로 31 (월계동, 그랑빌아파트)",37.61887758,127.0697809
1195,월계현대아파트 지하1~2층 주차장,"서울특별시 노원구 석계로 49 (월계동, 현대아파트)",37.61918223,127.0633505
1196,태웅빌딩 지하3층 주차장,"서울특별시 노원구 노해로 447, 태웅빌딩 (상계동)",37.65389993,127.0577996
1197,"롯데백화점 노원점 지하2,3층 주차장","서울특별시 노원구 동일로 1414 (상계동, 롯데백화점)",37.65494503,127.0607627
1198,공릉2동 주민센터 지하 1층,"서울특별시 노원구 노원로1길 68 (공릉동, 공릉2동청사)",37.62122704,127.0833727
1199,상계1동 주민센터 지하1층,"서울특별시 노원구 동일로 1697 (상계동, 상계1동주민센터)",37.67991633,127.0550433
1200,노원역 7호선 지하1층,"서울특별시 노원구 동일로 지하1409, 노원역 7호선 (상계동)",37.65444012,127.0604802
1201,노원구청 지하1층 주차장,"서울특별시 노원구 노해로 437, 노원구청 (상계동)",37.65361801,127.0567027
1202,대한적십자사 동부혈액원 지하1층 주차장,"서울특별시 노원구 동일로 1329, 대한적십자사 (상계동)",37.64756256,127.0622279
1203,북부장애인복지관 지하1층 강당,"서울특별시 노원구 덕릉로70가길 92, 북부장애인복지관 (상계동)",37.64237565,127.0569196
1204,시립뇌성마비복지관 지하1층 강당,"서울특별시 노원구 덕릉로70가길 96, 서울시립뇌성마비복지관 (상계동)",37.64230232,127.0566666
1205,한국전력공사북부지점 지하1층 주차장,"서울특별시 노원구 노해로 429 (상계동, 한국전력공사 북부지점)",37.65341011,127.0557803
1206,상계6.7동주민센터 지하1층,"서울특별시 노원구 노원로 429, 상계6.7동주민센터 (상계동)",37.65484393,127.0669651
